Subtype_to_16S_copy_number	A1	A2	A3	A4	A5	A6
aminoglycoside__viomycin phosphotransferase	0	0	0	0	0	0
bacitracin__bacA	0.109520984540509	0.0546293400940463	0.0437879547781607	0.0557129893878097	0.00172449989081215	0.00842030771879443
bacitracin__bcrA	0.000374466752221826	0.00154527977426331	0.000684388949087711	0.00191039389734423	0	0
bacitracin__bcrC	0	0	0	0	0	0
beta-lactam__ACT-1	0	0	0	0	0	0
beta-lactam__ACT-13	0	0	0	0	0	0
beta-lactam__ACT-14	0	0	0	0	0	0
beta-lactam__ACT-16	0	0	0	0	0	0
beta-lactam__ACT-19	0	0	0	0	0	0
beta-lactam__ACT-2	0	0	0	0	0	0
beta-lactam__ACT-20	0	0	0	0	0	0
beta-lactam__ACT-21	0	0	0	0	0	0
beta-lactam__ACT-23	0	0	0	0	0	0
beta-lactam__ACT-5	0	0	0	0	0	0
beta-lactam__AER-1	0	0	0	0	0	0
beta-lactam__BEL-2	0	0	0	0	0	0
beta-lactam__BEL-3	0	0	0	0	0	0
beta-lactam__CARB-12	0	0	0	0	0	0
beta-lactam__CARB-3	0	0	0	0	0	0
beta-lactam__CARB-5	0	0	0	0	0	0
beta-lactam__CARB-6	0	0	0	0	0	0
beta-lactam__CARB-7	0	0	0	0	0	0
beta-lactam__CARB-8	0	0	0	0	0	0
beta-lactam__CARB-9	0	0	0	0	0	0
beta-lactam__CAZ-2	0	0	0	0	0	0
beta-lactam__CAZ-6	0	0	0	0	0	0
beta-lactam__CAZ-7	0	0	0	0	0	0
beta-lactam__CFE-1	0	0	0	0	0	0
beta-lactam__CGB-1	0	0	0	0	0	0
beta-lactam__CMY-1	0	0	0	0	0	0
beta-lactam__CMY-10	0	0	0	0	0	0
beta-lactam__CMY-100	0	0	0	0	0	0
beta-lactam__CMY-102	0	0	0	0	0	0
beta-lactam__CMY-103	0	0	0	0	0	0
beta-lactam__CMY-11	0	0	0	0	0	0
beta-lactam__CMY-111	0	0	0	0	0	0
beta-lactam__CMY-13	0	0	0	0	0	0
beta-lactam__CMY-16	0	0	0	0	0	0
beta-lactam__CMY-18	0	0	0	0	0	0
beta-lactam__CMY-19	0	0	0	0	0	0
beta-lactam__CMY-2	0	0	0	0	0	0
beta-lactam__CMY-21	0	0	0	0	0	0
beta-lactam__CMY-22	0	0	0	0	0	0
beta-lactam__CMY-23	0	0	0	0	0	0
beta-lactam__CMY-25	0	0	0	0	0	0
beta-lactam__CMY-26	0	0	0	0	0	0
beta-lactam__CMY-29	0	0	0	0	0	0
beta-lactam__CMY-30	0	0	0	0	0	0
beta-lactam__CMY-31	0	0	0	0	0	0
beta-lactam__CMY-32	0	0	0	0	0	0
beta-lactam__CMY-33	0	0	0	0	0	0
beta-lactam__CMY-37	0	0	0	0	0	0
beta-lactam__CMY-39	0	0	0	0	0	0
beta-lactam__CMY-4	0	0	0	0	0	0
beta-lactam__CMY-40	0	0	0	0	0	0
beta-lactam__CMY-41	0	0	0	0	0	0
beta-lactam__CMY-43	0	0	0	0	0	0
beta-lactam__CMY-44	0	0	0	0	0	0
beta-lactam__CMY-51	0	0	0	0	0	0
beta-lactam__CMY-54	0	0	0	0	0	0
beta-lactam__CMY-55	0	0	0	0	0	0
beta-lactam__CMY-56	0	0	0	0	0	0
beta-lactam__CMY-6	0	0	0	0	0	0
beta-lactam__CMY-60	0	0	0	0	0	0
beta-lactam__CMY-61	0	0	0	0	0	0
beta-lactam__CMY-62	0	0	0	0	0	0
beta-lactam__CMY-64	0	0	0	0	0	0
beta-lactam__CMY-65	0	0	0	0	0	0
beta-lactam__CMY-69	0	0	0	0	0	0
beta-lactam__CMY-73	0	0	0	0	0	0
beta-lactam__CMY-74	0	0	0	0	0	0
beta-lactam__CMY-78	0	0	0	0	0	0
beta-lactam__CMY-79	0	0	0	0	0	0
beta-lactam__CMY-80	0	0	0	0	0	0
beta-lactam__CMY-87	0	0	0	0	0	0
beta-lactam__CMY-9	0	0	0	0	0	0
beta-lactam__CMY-98	0	0	0	0	0	0
beta-lactam__CMY-99	0	0	0	0	0	0
beta-lactam__CTX-M	0	0	0	0	0	0
beta-lactam__CTX-M-1	0	0	0	0	0	0
beta-lactam__CTX-M-10	0	0	0	0	0	0
beta-lactam__CTX-M-101	0	0	0	0	0	0
beta-lactam__CTX-M-102	0	0	0	0	0	0
beta-lactam__CTX-M-103	0	0	0	0	0	0
beta-lactam__CTX-M-105	0	0	0	0	0	0
beta-lactam__CTX-M-106	0	0	0	0	0	0
beta-lactam__CTX-M-110	0	0	0	0	0	0
beta-lactam__CTX-M-111	0	0	0	0	0	0
beta-lactam__CTX-M-112	0	0	0	0	0	0
beta-lactam__CTX-M-113	0	0	0	0	0	0
beta-lactam__CTX-M-114	0	0	0	0	0	0
beta-lactam__CTX-M-12	0	0	0	0	0	0
beta-lactam__CTX-M-121	0	0	0	0	0	0
beta-lactam__CTX-M-122	0	0	0	0	0	0
beta-lactam__CTX-M-125	0	0	0	0	0	0
beta-lactam__CTX-M-126	0	0	0	0	0	0
beta-lactam__CTX-M-129	0	0	0	0	0	0
beta-lactam__CTX-M-130	0	0	0	0	0	0
beta-lactam__CTX-M-131	0	0	0	0	0	0
beta-lactam__CTX-M-132	0	0	0	0	0	0
beta-lactam__CTX-M-134	0	0	0	0	0	0
beta-lactam__CTX-M-137	0	0	0	0	0	0
beta-lactam__CTX-M-14	0	0	0	0	0	0
beta-lactam__CTX-M-141	0	0	0	0	0	0
beta-lactam__CTX-M-142	0	0	0	0	0	0
beta-lactam__CTX-M-147	0	0	0	0	0	0
beta-lactam__CTX-M-15	0	0	0	0	0	0
beta-lactam__CTX-M-152	0	0	0	0	0	0
beta-lactam__CTX-M-16	0	0	0	0	0	0
beta-lactam__CTX-M-17	0	0	0	0	0	0
beta-lactam__CTX-M-19	0	0	0	0	0	0
beta-lactam__CTX-M-2	0	0	0	0	0	0
beta-lactam__CTX-M-20	0	0	0	0	0	0
beta-lactam__CTX-M-22	0	0	0	0	0	0
beta-lactam__CTX-M-24	0	0	0	0	0	0
beta-lactam__CTX-M-25	0	0	0	0	0	0
beta-lactam__CTX-M-26	0	0	0	0	0	0
beta-lactam__CTX-M-28	0	0	0	0	0	0
beta-lactam__CTX-M-29	0	0	0	0	0	0
beta-lactam__CTX-M-31	0	0	0	0	0	0
beta-lactam__CTX-M-32	0	0	0	0	0	0
beta-lactam__CTX-M-34	0	0	0	0	0	0
beta-lactam__CTX-M-35	0	0	0	0	0	0
beta-lactam__CTX-M-36	0	0	0	0	0	0
beta-lactam__CTX-M-37	0	0	0	0	0	0
beta-lactam__CTX-M-38	0	0	0	0	0	0
beta-lactam__CTX-M-4	0	0	0	0	0	0
beta-lactam__CTX-M-40	0	0	0	0	0	0
beta-lactam__CTX-M-41	0	0	0	0	0	0
beta-lactam__CTX-M-42	0	0	0	0	0	0
beta-lactam__CTX-M-43	0	0	0	0	0	0
beta-lactam__CTX-M-5	0	0	0	0	0	0
beta-lactam__CTX-M-51	0	0	0	0	0	0
beta-lactam__CTX-M-52	0	0	0	0	0	0
beta-lactam__CTX-M-53	0	0	0	0	0	0
beta-lactam__CTX-M-54	0	0	0	0	0	0
beta-lactam__CTX-M-55	0	0	0	0	0	0
beta-lactam__CTX-M-56	0	0	0	0	0	0
beta-lactam__CTX-M-58	0	0	0	0	0	0
beta-lactam__CTX-M-59	0	0	0	0	0	0
beta-lactam__CTX-M-60	0	0	0	0	0	0
beta-lactam__CTX-M-61	0	0	0	0	0	0
beta-lactam__CTX-M-62	0	0	0	0	0	0
beta-lactam__CTX-M-63	0	0	0	0	0	0
beta-lactam__CTX-M-65	0	0	0	0	0	0
beta-lactam__CTX-M-68	0	0	0	0	0	0
beta-lactam__CTX-M-69	0	0	0	0	0	0
beta-lactam__CTX-M-7	0	0	0	0	0	0
beta-lactam__CTX-M-74	0	0	0	0	0	0
beta-lactam__CTX-M-75	0	0	0	0	0	0
beta-lactam__CTX-M-78	0	0	0	0	0	0
beta-lactam__CTX-M-79	0	0	0	0	0	0
beta-lactam__CTX-M-82	0	0	0	0	0	0
beta-lactam__CTX-M-83	0	0	0	0	0	0
beta-lactam__CTX-M-84	0	0	0	0	0	0
beta-lactam__CTX-M-85	0	0	0	0	0	0
beta-lactam__CTX-M-86	0	0	0	0	0	0
beta-lactam__CTX-M-89	0	0	0	0	0	0
beta-lactam__CTX-M-90	0	0	0	0	0	0
beta-lactam__CTX-M-91	0	0	0	0	0	0
beta-lactam__CTX-M-92	0	0	0	0	0	0
beta-lactam__CTX-M-94	0	0	0	0	0	0
beta-lactam__CTX-M-99	0	0	0	0	0	0
beta-lactam__CfxA2	0.000654883654366895	0	0	0	9.13402782561662e-05	0
beta-lactam__CfxA3	0	0	0	0	0	0
beta-lactam__DHA-12	0	0	0	0	0	0
beta-lactam__DHA-5	0	0	0	0	0	0
beta-lactam__DHA-6	0	0	0	0	0	0
beta-lactam__DHA-7	0	0	0	0	0	0
beta-lactam__FEZ-1	0	0	0	0	0	0
beta-lactam__FONA-6	0	0	0	0	0	0
beta-lactam__FOX-1	0	0	0	0	0	0
beta-lactam__FOX-2	0	0	0	0	0	0
beta-lactam__FOX-3	0	0	0	0	0	0
beta-lactam__FOX-4	0	0	0	0	0	0
beta-lactam__FOX-5	0	0	0	0	0	0
beta-lactam__FOX-7	0	0	0	0	0	0
beta-lactam__FOX-8	0	0	0	0	0	0
beta-lactam__FOX-9	0	0	0	0	0	0
beta-lactam__GES-1	0	0	0	0	0	0
beta-lactam__GES-10	0	0	0	0	0	0
beta-lactam__GES-11	0	0	0	0	0	0
beta-lactam__GES-12	0	0	0	0	0	0
beta-lactam__GES-13	0	0	0	0	0	0
beta-lactam__GES-14	0	0	0	0	0	0
beta-lactam__GES-15	0.000406668648117831	0	0.000125940248739529	0	0	0
beta-lactam__GES-17	0	0	0	0	0	0
beta-lactam__GES-18	0	0	0	0	0	0
beta-lactam__GES-19	0	0	0	0	0	0
beta-lactam__GES-20	0	0	0	0	0	0
beta-lactam__GES-21	0	0	0	0	0	0
beta-lactam__GES-23	0	0	0	0	0	0
beta-lactam__GES-3	0	0	0	0	0	0
beta-lactam__GES-4	0	0	0	0	0	0
beta-lactam__GES-5	0	0	0	0	0	0
beta-lactam__GES-9	0	0	0	0	0	0
beta-lactam__GIM-1	0	0	0	0	0	0
beta-lactam__GOB-1	0	0	0	0	0	0
beta-lactam__IBC-2	0	0	0	0	0	0
beta-lactam__IMI-1	0	0	0	0	0	0
beta-lactam__IMI-2	0	0	0	0	0	0
beta-lactam__IMI-3	0	0	0	0	0	0
beta-lactam__IMI-4	0	0	0	0	0	0
beta-lactam__IMP	0	0	0	0	0	0
beta-lactam__IMP-1	0	0	0	0	0	0
beta-lactam__IMP-10	0	0	0	0	0	0
beta-lactam__IMP-11	0	0	0	0	0	0
beta-lactam__IMP-12	0	0	0	0	0	0
beta-lactam__IMP-13	0	0	0	0	0	0
beta-lactam__IMP-14	0	0	0	0	0	0
beta-lactam__IMP-15	0	0	0	0	0	0
beta-lactam__IMP-16	0	0	0	0	0	0
beta-lactam__IMP-18	0	0	0	0	0	0
beta-lactam__IMP-19	0	0	0	0	0	0
beta-lactam__IMP-2	0	0	0	0	0	0
beta-lactam__IMP-20	0	0	0	0	0	0
beta-lactam__IMP-21	0	0	0	0	0	0
beta-lactam__IMP-22	0	0	0	0	0	0
beta-lactam__IMP-24	0	0	0	0	0	0
beta-lactam__IMP-25	0	0	0	0	0	0
beta-lactam__IMP-27	0	0	0	0	0	0
beta-lactam__IMP-28	0	0	0	0	0	0
beta-lactam__IMP-29	0	0	0	0	0	0
beta-lactam__IMP-31	0	0	0	0	0	0
beta-lactam__IMP-32	0	0	0	0	0	0
beta-lactam__IMP-33	0	0	0	0	0	0
beta-lactam__IMP-35	0	0	0	0	0	0
beta-lactam__IMP-37	0	0	0	0	0	0
beta-lactam__IMP-38	0	0	0	0	0	0
beta-lactam__IMP-4	0	0	0	0	0	0
beta-lactam__IMP-40	0	0	0	0	0	0
beta-lactam__IMP-41	0	0	0	0	0	0
beta-lactam__IMP-42	0	0	0	0	0	0
beta-lactam__IMP-43	0	0	0	0	0	0
beta-lactam__IMP-44	0	0	0	0	0	0
beta-lactam__IMP-5	0	0	0	0	0	0
beta-lactam__IMP-6	0	0	0	0	0	0
beta-lactam__IMP-7	0	0	0	0	0	0
beta-lactam__IMP-8	0	0	0	0	0	0
beta-lactam__IMP-9	0	0	0	0	0	0
beta-lactam__IND-1	0	0	0	0	0	0
beta-lactam__IND-10	0	0	0	0	0	0
beta-lactam__IND-11	0	0	0	0	0	0
beta-lactam__IND-12	0	0	0	0	0	0
beta-lactam__IND-14	0	0	0	0	0	0
beta-lactam__IND-15	0	0	0	0	0	0
beta-lactam__IND-3	0	0	0	0	0	0
beta-lactam__IND-4	0	0	0	0	0	0
beta-lactam__IND-5	0	0	0	0	0	0
beta-lactam__IND-6	0	0	0	0	0	0
beta-lactam__IND-7	0	0	0	0	0	0
beta-lactam__IND-8	0	0	0	0	0	0
beta-lactam__IND-9	0	0	0	0	0	0
beta-lactam__JOHN-1	0	0	0	0	0	0
beta-lactam__KHM-1	0	0	0	0	0	0
beta-lactam__KLUG-1	0	0	0	0	0	0
beta-lactam__KLUY-2	0	0	0	0	0	0
beta-lactam__KLUY-3	0	0	0	0	0	0
beta-lactam__KLUY-4	0	0	0	0	0	0
beta-lactam__KPC-1	0	0	0	0	0	0
beta-lactam__KPC-10	0	0	0	0	0	0
beta-lactam__KPC-11	0	0	0	0	0	0
beta-lactam__KPC-12	0	0	0	0	0	0
beta-lactam__KPC-13	0	0	0	0	0	0
beta-lactam__KPC-15	0	0	0	0	0	0
beta-lactam__KPC-16	0	0	0	0	0	0
beta-lactam__KPC-17	0	0	0	0	0	0
beta-lactam__KPC-2	0	0	0	0	0	0
beta-lactam__KPC-3	0	0	0	0	0	0
beta-lactam__KPC-4	0	0	0	0	0	0
beta-lactam__KPC-5	0	0	0	0	0	0
beta-lactam__KPC-6	0	0	0	0	0	0
beta-lactam__KPC-7	0	0	0	0	0	0
beta-lactam__KPC-8	0	0	0	0	0	0
beta-lactam__LCR-1	0	0	0.000278037318371114	0	0	0
beta-lactam__LEN-1	0	0	0	0	0	0
beta-lactam__LEN-15	0	0	0	0	0	0
beta-lactam__LEN-16	0	0	0	0	0	0
beta-lactam__LEN-17	0	0	0	0	0	0
beta-lactam__LEN-18	0	0	0	0	0	0
beta-lactam__LEN-19	0	0	0	0	0	0
beta-lactam__LEN-2	0	0	0	0	0	0
beta-lactam__LEN-20	0	0	0	0	0	0
beta-lactam__LEN-21	0	0	0	0	0	0
beta-lactam__LEN-23	0	0	0	0	0	0
beta-lactam__LEN-24	0	0	0	0	0	0
beta-lactam__LEN-5	0	0	0	0	0	0
beta-lactam__LRA-1	0	0	0	0	0	0
beta-lactam__LRA-12	0	0.000453305373213973	0	0	0	0
beta-lactam__LRA-13	0	0	0	0	0	0
beta-lactam__LRA-17	0	0	0	0	0	0
beta-lactam__LRA-19	0	0	0.000442590016998917	0	0	0
beta-lactam__LRA-2	0	0.000439796272687729	0	0	0	0
beta-lactam__LRA-3	0	0.00022364530604111	0	0	0	0
beta-lactam__LRA-5	0	0	0	0	0	0
beta-lactam__LRA-8	0	0	0	0	0	0
beta-lactam__LRA-9	0	0.000220628694936369	0	0	0	0
beta-lactam__MIR-1	0	0	0	0	0	0
beta-lactam__MIR-2	0	0	0	0	0	0
beta-lactam__MIR-3	0	0	0	0	0	0
beta-lactam__MIR-6	0	0	0	0	0	0
beta-lactam__MIR-8	0	0	0	0	0	0
beta-lactam__MOX-1	0	0	0	0	0	0
beta-lactam__MOX-2	0	0	0	0	0	0
beta-lactam__MOX-3	0	0	0	0	0	0
beta-lactam__MOX-4	0.000173598735735688	0	0	0	0	0
beta-lactam__MOX-5	0	0	0	0	0	0
beta-lactam__MOX-6	0	0	0	0	0	0
beta-lactam__MOX-7	0	0	0	0	0	0
beta-lactam__MUS-1	0	0	0	0	0	0
beta-lactam__NDM-1	0	0	0	0	0	0
beta-lactam__NDM-10	0	0	0	0	0	0
beta-lactam__NDM-11	0	0	0	0	0	0
beta-lactam__NDM-12	0	0	0	0	0	0
beta-lactam__NDM-13	0	0	0	0	0	0
beta-lactam__NDM-14	0	0	0	0	0	0
beta-lactam__NDM-15	0	0	0	0	0	0
beta-lactam__NDM-16	0	0	0	0	0	0
beta-lactam__NDM-17	0	0	0	0	0	0
beta-lactam__NDM-18	0	0	0	0	0	0
beta-lactam__NDM-19	0	0	0	0	0	0
beta-lactam__NDM-2	0	0	0	0	0	0
beta-lactam__NDM-20	0	0	0	0	0	0
beta-lactam__NDM-3	0	0	0	0	0	0
beta-lactam__NDM-4	0	0	0	0	0	0
beta-lactam__NDM-5	0	0	0	0	0	0
beta-lactam__NDM-6	0	0	0	0	0	0
beta-lactam__NDM-7	0	0	0	0	0	0
beta-lactam__NDM-8	0	0	0	0	0	0
beta-lactam__NDM-9	0	0	0	0	0	0
beta-lactam__NMC-A	0	0	0	0	0	0
beta-lactam__NPS-1	0	0	0	0	0	0
beta-lactam__OCH-2	0	0	0	0	0	0
beta-lactam__OCH-4	0	0	0	0	0	0
beta-lactam__OCH-5	0	0	0	0	0	0
beta-lactam__OCH-8	0	0	0	0	0	0
beta-lactam__OKP-A	0	0	0	0	0	0
beta-lactam__OKP-B	0	0	0	0	0	0
beta-lactam__OXA-1	0	0	0	0	0	0
beta-lactam__OXA-10	0	0	0.000426328593308784	0	0	0
beta-lactam__OXA-101	0	0	0	0	0	0
beta-lactam__OXA-104	0	0	0	0	0	0
beta-lactam__OXA-106	0	0	0	0	0	0
beta-lactam__OXA-107	0	0	0	0	0	0
beta-lactam__OXA-108	0	0	0	0	0	0
beta-lactam__OXA-109	0	0	0	0	0	0
beta-lactam__OXA-11	0	0	0	0	0	0
beta-lactam__OXA-110	0	0	0	0	0	0
beta-lactam__OXA-111	0	0	0	0	0	0
beta-lactam__OXA-112	0	0	0	0	0	0
beta-lactam__OXA-113	0	0	0	0	0	0
beta-lactam__OXA-114	0	0	0	0	0	0
beta-lactam__OXA-115	0	0	0	0	0	0
beta-lactam__OXA-116	0	0	0	0	0	0
beta-lactam__OXA-117	0	0	0	0	0	0
beta-lactam__OXA-118	0	0	0	0	0	0
beta-lactam__OXA-119	0	0	0	0	0	0
beta-lactam__OXA-12	0.000437074271472715	0	0	0	0	0
beta-lactam__OXA-120	0	0	0	0	0	0
beta-lactam__OXA-121	0	0	0	0	0	0
beta-lactam__OXA-128	0	0	0	0	0	0
beta-lactam__OXA-129	0	0	0	0	0	0
beta-lactam__OXA-13	0	0	0	0	0	0
beta-lactam__OXA-130	0	0	0	0	0	0
beta-lactam__OXA-131	0	0	0	0	0	0
beta-lactam__OXA-132	0	0	0	0	0	0
beta-lactam__OXA-134	0	0	0	0	0	0
beta-lactam__OXA-136	0	0	0	0	0	0
beta-lactam__OXA-137	0	0	0	0	0	0
beta-lactam__OXA-139	0	0	0	0	0	0
beta-lactam__OXA-141	0	0	0	0	0	0.000100228523834021
beta-lactam__OXA-142	0	0	0	0	0	0
beta-lactam__OXA-144	0	0	0	0	0	0
beta-lactam__OXA-145	0	0	0	0	0	0
beta-lactam__OXA-146	0	0	0	0	0	0
beta-lactam__OXA-147	0.000339052688681971	0	0	0	0	0
beta-lactam__OXA-148	0	0	0	0	0	0
beta-lactam__OXA-149	0	0	0	0	0	0
beta-lactam__OXA-15	0	0	0	0	0	9.82239533573407e-05
beta-lactam__OXA-150	0	0	0	0	0	0
beta-lactam__OXA-161	0	0	0	0	0	0
beta-lactam__OXA-162	0	0	0	0	0	0
beta-lactam__OXA-163	0	0	0	0	0	0
beta-lactam__OXA-164	0	0	0	0	0	0
beta-lactam__OXA-165	0	0	0	0	0	0
beta-lactam__OXA-166	0	0	0	0	0	0
beta-lactam__OXA-167	0	0	0	0	0	0
beta-lactam__OXA-168	0	0	0	0	0	0
beta-lactam__OXA-169	0	0	0	0	0	0
beta-lactam__OXA-17	0	0	0	0	0	0
beta-lactam__OXA-170	0	0	0	0	0	0
beta-lactam__OXA-171	0	0	0	0	0	0
beta-lactam__OXA-172	0	0	0	0	0	0
beta-lactam__OXA-173	0	0	0	0	0	0
beta-lactam__OXA-174	0	0	0	0	0	0
beta-lactam__OXA-175	0	0	0	0	0	0
beta-lactam__OXA-176	0	0	0	0	0	0
beta-lactam__OXA-177	0	0	0	0	0	0
beta-lactam__OXA-178	0	0	0	0	0	0
beta-lactam__OXA-179	0	0	0	0	0	0
beta-lactam__OXA-18	0	0	0	0	0	0
beta-lactam__OXA-180	0	0	0	0	0	0
beta-lactam__OXA-181	0	0	0	0	0	0
beta-lactam__OXA-183	0	0	0	0	0	0
beta-lactam__OXA-184	0	0	0	0	0	0
beta-lactam__OXA-19	0	0	0	0	0	0
beta-lactam__OXA-192	0	0	0	0	0	0
beta-lactam__OXA-194	0	0	0	0	0	0
beta-lactam__OXA-195	0	0	0	0	0	0
beta-lactam__OXA-196	0	0	0	0	0	0
beta-lactam__OXA-197	0	0	0	0	0	0
beta-lactam__OXA-2	0	0	0.000334030201508616	0	0	0.00553734227619617
beta-lactam__OXA-20	0	0	0	0	0	0
beta-lactam__OXA-200	0	0	0	0	0	0
beta-lactam__OXA-201	0	0	0	0	0	0
beta-lactam__OXA-202	0	0	0	0	0	0
beta-lactam__OXA-203	0	0	0	0	0	0
beta-lactam__OXA-205	0	0	0	0	0	0.000414478857960238
beta-lactam__OXA-206	0	0	0	0	0	0
beta-lactam__OXA-207	0	0	0	0	0	0
beta-lactam__OXA-208	0	0	0	0	0	0
beta-lactam__OXA-209	0.000145214708870874	0	0	0	0	0
beta-lactam__OXA-21	0	0	0	0	0	0
beta-lactam__OXA-210	0	0	0	0	0	0
beta-lactam__OXA-211	0	0	0	0	0	0
beta-lactam__OXA-212	0	0	0	0	0	0
beta-lactam__OXA-213	0	0	0	0	0	0
beta-lactam__OXA-214	0	0	0	0	0	0
beta-lactam__OXA-215	0	0	0	0	0	0
beta-lactam__OXA-216	0	0	0	0	0	0
beta-lactam__OXA-217	0	0	0	0	0	0
beta-lactam__OXA-219	0	0	0	0	0	0
beta-lactam__OXA-22	0	0	0	0	0	0.000100594321366262
beta-lactam__OXA-223	0	0	0	0	0	0
beta-lactam__OXA-225	0	0	0	0	0	0
beta-lactam__OXA-226	0	0	0	0	0	0.000926111560226355
beta-lactam__OXA-228	0	0	0	0	0	0
beta-lactam__OXA-229	0	0	0	0	0	0
beta-lactam__OXA-23	0	0	0	0	0	0
beta-lactam__OXA-230	0	0	0	0	0	0
beta-lactam__OXA-232	0	0	0	0	0	0
beta-lactam__OXA-236	0	0	0	0	0	0
beta-lactam__OXA-237	0	0	0	0	0	0
beta-lactam__OXA-239	0	0	0	0	0	0
beta-lactam__OXA-24	0	0	0	0	0	0
beta-lactam__OXA-240	0	0	0	0	0	0
beta-lactam__OXA-241	0	0	0	0	0	0
beta-lactam__OXA-242	0	0	0	0	0	0
beta-lactam__OXA-243	0	0	0	0	0	0
beta-lactam__OXA-244	0	0	0	0	0	0
beta-lactam__OXA-247	0	0	0	0	0	0
beta-lactam__OXA-248	0	0	0	0	0	0
beta-lactam__OXA-25	0	0	0	0	0	0
beta-lactam__OXA-250	0	0	0	0	0	0
beta-lactam__OXA-251	0	0	0.000138656020363069	0	0	0
beta-lactam__OXA-254	0	0	0	0	0	0
beta-lactam__OXA-257	0	0	0	0	0	0
beta-lactam__OXA-258	0	0	0	0	0	0
beta-lactam__OXA-26	0	0	0	0	0	0
beta-lactam__OXA-27	0	0	0	0	0	0
beta-lactam__OXA-278	0	0	0	0	0	0
beta-lactam__OXA-28	0	0	0	0	0	0
beta-lactam__OXA-29	0	0	0	0	0	0
beta-lactam__OXA-3	0	0	0	0	0	0
beta-lactam__OXA-309	0	0	0	0	0	0
beta-lactam__OXA-312	0	0	0	0	0	0
beta-lactam__OXA-313	0	0	0	0	0	0
beta-lactam__OXA-314	0	0	0	0	0	0
beta-lactam__OXA-315	0	0	0	0	0	0
beta-lactam__OXA-316	0	0	0	0	0	0
beta-lactam__OXA-317	0	0	0	0	0	0
beta-lactam__OXA-32	0	0	0	0	0	0
beta-lactam__OXA-322	0	0	0	0	0	0
beta-lactam__OXA-323	0	0	0	0	0	0
beta-lactam__OXA-324	0	0	0	0	0	0
beta-lactam__OXA-325	0	0	0	0	0	0
beta-lactam__OXA-326	0	0	0	0	0	0
beta-lactam__OXA-327	0	0	0	0	0	0
beta-lactam__OXA-328	0	0	0	0	0	0
beta-lactam__OXA-329	0	0	0	0	0	0
