name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Spirosoma	107	genus	0	53	0	0.0
Planctomycetales	112	order	5733343	82	0	0.0
Gemmata	113	genus	0	30	0	0.0
Gemmata obscuriglobus	114	species	17998094	1949	1068	0.0
Planctomyces	118	genus	0	20	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	6	0	0.0
Planctopirus limnophila	120	species	5460085	14	0	0.0
Gimesia maris	122	species	15634937	620	217	0.0
Pirellula	123	genus	6196199	5	0	0.0
Pirellula staleyi	125	species	6196199	6	0	0.0
Planctomycetaceae	126	family	5733343	32	0	0.0
Isosphaera	127	genus	5529304	2	0	0.0
Isosphaera pallida	128	species	5529304	6	0	0.0
Methylocystis	133	genus	0	102	0	0.0
Methylocystis parvus	134	species	4529043	657	399	0
Spirochaetales	136	order	1876294	47	0	0.0
Spirochaetaceae	137	family	2749897	19	0	0.0
Borrelia	138	genus	1176628	21	1	0.0
Borreliella burgdorferi	139	species	1329613	79	21	0.0
Borrelia hermsii	140	species	1156143	5	0	0.0
Borrelia turicatae	142	species	1165365	69	6	0.0
Spirochaeta	146	genus	2772907	10	0	0.0
Spirochaeta thermophila	154	species	2516433	8	0	0.0
Treponema	157	genus	2490077	13	1	0.0
Treponema denticola	158	species	2843201	2	0	0.0
Brachyspira hyodysenteriae	159	species	3055339	200	16	0.0
Treponema pallidum	160	species	1139017	2	0	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	34	0	0.0
Treponema phagedenis	162	species	17151030	513	21	0.0
Leptospiraceae	170	family	5274184	15	0	0.0
Leptospira	171	genus	5319704	32	12	0.0
Leptospira biflexa	172	species	3953768	4	0	0.0
Leptospira interrogans	173	species	6128534	397	222	0.0
Leptospira borgpetersenii	174	species	4736323	50	12	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	40	0	0.0
Leptospirillum	179	genus	2432093	4	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	3	0	0.0
Aquaspirillum	187	genus	0	68	0	0.0
Azospirillum	191	genus	7223069	631	46	0.0
Azospirillum brasilense	192	species	50779208	8649	1492	0.0
Azospirillum lipoferum	193	species	7223069	153	0	0.0
Campylobacter	194	genus	2403822	80	15	0.0
Campylobacter coli	195	species	1776238	634	222	0
Campylobacter fetus	196	species	2065164	130	86	0.0
Campylobacter jejuni	197	species	3124996	897	299	0.000149555
Campylobacter hyointestinalis	198	species	1755214	126	0	0.0
Campylobacter concisus	199	species	2099413	248	134	0.0
Campylobacter curvus	200	species	1971270	80	0	0.0
Campylobacter lari	201	species	1565468	339	92	0.0
Campylobacter showae	204	species	2160580	86	67	0.0
Campylobacter sputorum	206	species	1746988	163	63	0.0
Helicobacter	209	genus	1715890	27	0	0.0
Helicobacter pylori	210	species	1700965	1062	438	0.0
Helicobacter acinonychis	212	species	1557588	8	0	0.0
Helicobacter cinaedi	213	species	2170766	261	58	0.0
Helicobacter felis	214	species	1672681	7	0	0.0
Helicobacter mustelae	217	species	1578097	102	0	0.0
Achromobacter	222	genus	7359146	2064	10	0.0
Alteromonas	226	genus	4609878	158	5	0.0
Pseudoalteromonas carrageenovora	227	species	4597803	300	158	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	8	0	0.0
Brucella	234	genus	4039663	916	490	0.0
Brucella abortus	235	species	3283421	20	0	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Flavobacterium	237	genus	3461015	238	70	0.0
Elizabethkingia meningoseptica	238	species	15625789	1257	216	0.0
Chryseobacterium balustinum	246	species	4974086	517	294	0.0
Empedobacter brevis	247	species	7431270	1221	154	0.0
Chryseobacterium gleum	250	species	9292597	763	468	6.0734e-252
Chryseobacterium indologenes	253	species	35240523	2000	438	3.56987e-131
Chryseobacterium indoltheticum	254	species	8445673	1046	506	0.0
Sphingobacterium thalpophilum	259	species	5962893	447	333	9.90628e-05
Francisella	262	genus	3767258	106	4	0.0
Francisella tularensis	263	species	3018743	444	275	0.0
Francisella tularensis subsp. novicida	264	subspecies	7888826	115	28	0.0
Paracoccus	265	genus	5054656	420	7	0.0
Paracoccus denitrificans	266	species	5236194	1835	25	0.0
Thermus	270	genus	2279019	73	6	0.0
Thermus aquaticus	271	species	2338641	3	0	0.0
Thermus thermophilus	274	species	2214494	726	136	0.0
Meiothermus ruber	277	species	3097457	29	0	0.0
Xanthobacter	279	genus	5625098	82	0	0.0
Xanthobacter autotrophicus	280	species	5625098	61	0	0.0
Comamonas	283	genus	5461687	1112	0	0.0
Comamonas testosteroni	285	species	5856025	10685	5227	0.00032928
Pseudomonas	286	genus	9017316	11345	3542	0.0
Pseudomonas aeruginosa	287	species	6798896	10317	1779	0.0023035
Pseudoalteromonas atlantica	288	species	5187005	238	18	0.0
Burkholderia cepacia	292	species	13565292	4341	562	0
Brevundimonas diminuta	293	species	3551819	670	264	0.0
Pseudomonas fluorescens	294	species	6604895	10930	3054	0.0012584
Pseudomonas fragi	296	species	10253943	1683	391	0.000560917
Hydrogenophilus thermoluteolus	297	species	2288780	1014	670	0.0
Pseudomonas mendocina	300	species	5293211	4585	1352	0.000615503
Pseudomonas oleovorans	301	species	4686340	2091	206	0.000590771
Pseudomonas putida	303	species	6160317	13212	3134	0.00058496
Ralstonia solanacearum	305	species	5757294	19103	4036	0
Pseudomonas stutzeri	316	species	4548207	10285	2758	0.00190705
Pseudomonas syringae	317	species	8747300	2650	390	0.0
Pseudomonas syringae pv. syringae	321	leaf	17996541	631	142	0.0
Pseudomonas syringae pv. tomato	323	leaf	12920481	867	69	7.54731e-06
Ralstonia pickettii	329	species	5505543	3357	952	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	361	98	0.0
Burkholderia glumae	337	species	6878727	3031	185	0.0
Xanthomonas	338	genus	23419814	1619	299	0.0
Xanthomonas campestris	339	species	7099366	1124	463	0.0
Xanthomonas campestris pv. campestris	340	leaf	25019723	454	44	0.0
Xanthomonas translucens	343	species	11701367	395	0	0.0
Xanthomonas citri	346	species	27676482	1966	461	0.0
Xanthomonas oryzae	347	species	63225372	2038	869	0.0
Azotobacter	352	genus	5311796	84	0	0.0
Azotobacter chroococcum	353	species	5192286	1632	338	0
Azotobacter vinelandii	354	species	5351632	405	0	0.0
Rhizobiales	356	order	5410296	2513	14	0.0
Agrobacterium	357	genus	6422834	245	0	0.0
Agrobacterium tumefaciens	358	species	7273300	6552	829	5.79116e-05
Agrobacterium rhizogenes	359	species	5482241	611	258	0.0
Agrobacterium vitis	373	species	6320946	40	0	0.0
Bradyrhizobium	374	genus	11894480	1768	401	0.0
Bradyrhizobium japonicum	375	species	9207384	1894	292	0.0
Bradyrhizobium sp.	376	species	7547693	832	371	0.0
Rhizobium	379	genus	8184003	1820	493	0.0
Sinorhizobium fredii	380	species	6924988	921	64	0.0
Mesorhizobium loti	381	species	7481739	23	0	0.0
Sinorhizobium meliloti	382	species	7082772	2407	895	0.0
Rhizobium leguminosarum	384	species	9364981	3070	803	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	22747743	1599	377	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	733	352	0.0
Rhizobium phaseoli	396	species	6665454	1503	144	0.0
Rhizobium tropici	398	species	6686334	15	0	0.0
Neorhizobium galegae	399	species	6434105	125	0	0.0
Methylococcaceae	403	family	4384317	115	0	0.0
Methylobacillus	404	genus	2971517	53	0	0.0
Methylobacillus flagellatus	405	species	2971517	181	0	0.0
Methylobacterium	407	genus	7144985	665	19	0.0
Methylorubrum extorquens	408	species	8218505	2107	407	0.0
Methylococcus	413	genus	3304561	26	0	0.0
Methylococcus capsulatus	414	species	3304561	41	0	0.0
Methylomonas	416	genus	5051681	100	6	0.0
Methylomonas methanica	421	species	5051681	29	0	0.0
Methylosinus	425	genus	5183433	64	0	0.0
Methylosinus trichosporium	426	species	5183433	34	0	0.0
Acetobacteraceae	433	family	3826783	312	2	0.0
Acetobacter	434	genus	3590557	125	16	0.0
Acetobacter aceti	435	species	3725037	295	191	0.0
Acetobacter pasteurianus	438	species	3590557	635	141	0.0
Gluconobacter	441	genus	4181963	35	0	0.0
Gluconobacter oxydans	442	species	4181963	308	52	0.0
Legionellaceae	444	family	10525492	40	0	0.0
Legionella	445	genus	10525492	72	4	0.0
Legionella pneumophila	446	species	12363603	1072	609	3.44967e-05
Legionella hackeliae	449	species	3570857	300	213	0.0
Legionella longbeachae	450	species	4149158	846	186	1.16732e-05
Tatlockia micdadei	451	species	9836958	858	102	0.0
Legionella spiritensis	452	species	6755735	458	65	0
Legionella israelensis	454	species	9344693	836	234	0.0
Legionella jordanis	456	species	3133723	265	195	0.0
Tatlockia	465	genus	0	2	0	0.0
Moraxellaceae	468	family	3943545	172	0	0.0
Acinetobacter	469	genus	4126830	882	328	0.0
Acinetobacter baumannii	470	species	4233127	3124	608	0.00132883
Acinetobacter calcoaceticus	471	species	8050108	839	330	0.0
Moraxella	475	genus	1863286	34	0	0.0
Moraxella bovis	476	species	2911207	378	214	0.0
Moraxella catarrhalis	480	species	1863286	1195	319	0.0
Neisseriaceae	481	family	2244925	682	0	0.0
Neisseria	482	genus	2223758	646	107	0.0
Neisseria cinerea	483	species	1832904	515	181	0.0
Neisseria flavescens	484	species	2231882	603	176	0.0
Neisseria gonorrhoeae	485	species	2216159	954	145	0.0
Neisseria lactamica	486	species	2220606	1200	118	0.0
Neisseria meningitidis	487	species	2222288	2480	488	0.0
Neisseria mucosa	488	species	2783943	636	294	0.0
Neisseria polysaccharea	489	species	2024930	384	88	0.0
Neisseria animalis	492	species	4477875	1623	62	0.0
Neisseria canis	493	species	2569389	795	458	0.0
Neisseria elongata	495	species	2253031	1522	492	0.0
Psychrobacter	497	genus	2875899	86	11	0.0
Thermomicrobium roseum	500	species	2920744	3	0	0.0
Kingella kingae	504	species	4021433	1518	689	0.0
Alcaligenaceae	506	family	4354306	1056	3	0.0
Alcaligenes	507	genus	0	133	0	0.0
Alcaligenes faecalis	511	species	32768163	11932	2713	1.65281e-05
Bordetella	517	genus	4536693	1966	5	0.0
Bordetella bronchiseptica	518	species	5231793	6049	343	0.0
Bordetella parapertussis	519	species	4836562	1693	38	0.0
Bordetella pertussis	520	species	4781978	618	34	0.0
Bordetella avium	521	species	3732255	3848	110	0.0
Acidiphilium	522	genus	4088912	64	0	0.0
Acidiphilium cryptum	524	species	3963080	22	0	0.0
Ochrobactrum	528	genus	5205777	62	0	0.0
Ochrobactrum anthropi	529	species	5205777	1106	201	0.0
Beijerinckia	532	genus	4418616	8	0	0.0
Beijerinckia indica	533	species	4418616	9	0	0.0
Chromobacterium	535	genus	4751080	916	31	0.0
Chromobacterium violaceum	536	species	4751080	3611	215	0.0
Eikenella	538	genus	0	72	0	0.0
Eikenella corrodens	539	species	4651055	2135	772	4.84004e-182
Zymomonas	541	genus	3463673	24	0	0.0
Zymomonas mobilis	542	species	3463673	348	261	5.78866e-05
Enterobacteriaceae	543	family	10251881	1259	42	0.0
Citrobacter	544	genus	5276819	814	177	0.0
Citrobacter koseri	545	species	4735357	1316	55	0.0
Citrobacter freundii	546	species	5164552	2254	250	0.0023538
Enterobacter	547	genus	11028548	1012	154	0.0
Klebsiella aerogenes	548	species	5435727	1494	522	0.000369201
Pantoea agglomerans	549	species	30133336	2006	168	0.0
Enterobacter cloacae	550	species	5356576	3984	512	0.00488075
Erwinia	551	genus	4250482	186	0	0.0
Erwinia amylovora	552	species	3869718	322	0	0.0
Pantoea ananatis	553	species	4838981	1276	118	0.0
Pectobacterium carotovorum	554	species	6477254	74	0	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	9726078	497	92	0.0
Dickeya chrysanthemi	556	species	4813854	31	0	0.0
Escherichia	561	genus	8402996	64	0	0.0
Escherichia coli	562	species	8460827	4759	1132	0.00255682
Shimwellia blattae	563	species	4158725	761	0	0.0
Escherichia fergusonii	564	species	4643861	670	32	2.44154e-189
Atlantibacter hermannii	565	species	13352683	983	94	7.23934e-06
Hafnia	568	genus	4712721	73	0	0.0
Hafnia alvei	569	species	4712721	1041	176	0.0
Klebsiella	570	genus	12784449	629	32	0.0
Klebsiella oxytoca	571	species	6684898	2878	269	1.86698e-05
Klebsiella pneumoniae	573	species	14826006	2613	572	0.00045945
Klebsiella pneumoniae subsp. ozaenae	574	subspecies	5651305	10	0	0.0
Raoultella planticola	575	species	17105658	887	101	0
Raoultella terrigena	577	species	6073951	443	131	0
Kluyvera	579	genus	0	7	0	0.0
Morganella	581	genus	3844721	27	0	0.0
Morganella morganii	582	species	3844721	1593	524	0.00100475
Proteus	583	genus	3973324	118	8	0.0
Proteus mirabilis	584	species	3973324	1486	628	0.000663151
Proteus vulgaris	585	species	16657186	1434	336	9.20558e-05
Providencia	586	genus	4402109	112	5	0.0
Providencia rettgeri	587	species	36637538	1950	249	1.69474e-05
Providencia stuartii	588	species	4402109	1607	198	0
Salmonella	590	genus	11532269	54	0	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	39256227	31	0	0.0
Salmonella enterica subsp. enterica serovar Muenchen	596	leaf	15762832	16	1	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	33402824	9	6	0.0
Salmonella enterica subsp. enterica serovar Pullorum	605	leaf	4882929	2	0	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	117041765	26	2	0
Serratia	613	genus	5024672	1205	148	0.0
Serratia liquefaciens	614	species	5282719	1451	141	0
Serratia marcescens	615	species	5193266	4929	791	0.000356879
Serratia odorifera	618	species	5272556	475	236	0.0
Shigella	620	genus	6517268	50	0	0.0
Shigella boydii	621	species	4760589	256	19	0
Shigella dysenteriae	622	species	4520554	362	28	3.44924e-70
Shigella flexneri	623	species	7250520	243	19	0
Shigella sonnei	624	species	5137894	114	20	1.16368e-65
Xenorhabdus	626	genus	4157227	38	0	0.0
Xenorhabdus nematophila	628	species	4586662	335	132	0.0
Yersinia	629	genus	6072098	267	20	0.0
Yersinia enterocolitica	630	species	6188788	1103	295	0.0
Yersinia intermedia	631	species	24435507	1079	26	0.0
Yersinia pestis	632	species	5818786	593	21	0.0
Yersinia pseudotuberculosis	633	species	7671089	764	63	0.0
Edwardsiella	635	genus	3906392	198	14	0.0
Edwardsiella tarda	636	species	3766483	1410	73	0.000794077
Arsenophonus	637	genus	0	2	0	0.0
Arsenophonus nasoniae	638	species	4987107	252	178	0.0
Vibrionaceae	641	family	5610112	294	0	0.0
Aeromonas	642	genus	5822658	1681	555	0.0
Aeromonas hydrophila	644	species	4976269	4683	1131	0.000924141
Aeromonas salmonicida	645	species	7807177	1996	761	0.00135586
Aeromonas caviae	648	species	27968422	4163	545	0.000874105
Aeromonas media	651	species	4788430	938	202	0.000857396
Aeromonas schubertii	652	species	8750747	2083	484	0.000644198
Aeromonas veronii	654	species	4551783	7176	2128	0.00875829
Photobacterium	657	genus	6418250	25	0	0.0
Vibrio	662	genus	5583206	933	167	0.0
Vibrio alginolyticus	663	species	5146637	1994	402	0.0027463
Vibrio cholerae	666	species	5444833	2747	733	0.00193874
Aliivibrio fischeri	668	species	4273718	33	0	0.0
Vibrio harveyi	669	species	35934227	1603	185	2.67995e-05
Vibrio parahaemolyticus	670	species	5168015	2118	680	0.000837502
Vibrio vulnificus	672	species	5071151	2385	556	0.00011647
Grimontia hollisae	673	species	16426895	1762	200	0.0
Vibrio mimicus	674	species	26461692	2187	355	6.25052e-05
Vibrio cincinnatiensis	675	species	15191860	1541	238	0.0
Vibrio fluvialis	676	species	47771737	2248	427	3.20945e-05
Vibrio campbellii	680	species	8634154	1256	170	6.50596e-05
Vibrio gazogenes	687	species	4786552	346	241	0.0
Vibrio mediterranei	689	species	11788203	822	197	0.0
Vibrio natriegens	691	species	10343839	739	132	8.86397e-05
Plesiomonas	702	genus	0	27	0	0.0
Plesiomonas shigelloides	703	species	7376338	1347	755	0.000585245
Pasteurellaceae	712	family	2528486	165	8	0.0
Actinobacillus	713	genus	2346381	22	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2265772	1231	129	0.0
Actinobacillus pleuropneumoniae	715	species	2303652	375	62	0.0
Actinobacillus suis	716	species	2501598	294	0	0.0
Actinobacillus equuli	718	species	2431533	254	1	0.0
Actinobacillus lignieresii	720	species	2377048	232	48	0.0
Haemophilus	724	genus	2428729	67	0	0.0
Haemophilus influenzae biotype aegyptius	725	leaf	9836568	160	20	0.0
Haemophilus haemolyticus	726	species	7646594	928	209	0.0
Haemophilus influenzae	727	species	2511163	1808	319	0.0
Avibacterium paragallinarum	728	species	2425949	305	177	0
Haemophilus parainfluenzae	729	species	2086875	803	302	0.0
[Haemophilus] ducreyi	730	species	1698955	872	228	0
Histophilus somni	731	species	2138367	574	284	0.0
Aggregatibacter aphrophilus	732	species	3481722	485	121	0.0
Haemophilus parahaemolyticus	735	species	2091866	237	139	0.0
Glaesserella parasuis	738	species	2362471	1210	155	0.0
Aggregatibacter segnis	739	species	2022832	11	0	0.0
Pasteurella	745	genus	2875151	7	0	0.0
Pasteurella multocida	747	species	2875151	1220	519	0
[Pasteurella] aerogenes	749	species	2257472	287	197	0.0
Gallibacterium anatis	750	species	2694139	11	0	0.0
Pasteurella dagmatis	754	species	2287213	346	206	0.0
Rodentibacter pneumotropicus	758	species	2439769	248	158	0.0
Avibacterium volantium	762	species	2230476	278	129	0.0
Rickettsiales	766	order	1302079	40	0	0.0
Anaplasma	768	genus	1349657	2	0	0.0
Anaplasma centrale	769	species	1206806	5	0	0.0
Anaplasma marginale	770	species	1200061	4	0	0.0
Bartonellaceae	772	family	1830994	8	0	0.0
Bartonella	773	genus	1830994	93	23	0.0
Bartonella bacilliformis	774	species	1445021	248	0	0.0
Rickettsiaceae	775	family	1316078	11	0	0.0
Coxiella	776	genus	2072642	21	0	0.0
Coxiella burnetii	777	species	2072642	529	192	0.0
Ehrlichia ruminantium	779	species	2264626	12	0	0.0
Rickettsia	780	genus	1252916	142	94	0.0
Rickettsia prowazekii	782	species	1111192	128	67	0.0
Rickettsia rickettsii	783	species	1265141	12	5	0.0
Orientia tsutsugamushi	784	species	2200350	336	88	0.0
Rickettsia typhi	785	species	1112275	84	0	0.0
Rickettsia akari	786	species	1231060	3	0	0.0
Rickettsia australis	787	species	1323280	2	0	0.0
Rickettsia canadensis	788	species	1155000	2	0	0.0
Bartonella quintana	803	species	1584515	212	14	0.0
Bartonella elizabethae	807	species	2018538	177	68	0.0
Chlamydiaceae	809	family	1271055	1	0	0.0
Chlamydia	810	genus	1271055	26	12	0.0
Chlamydia trachomatis	813	species	1068120	56	35	0.000355842
Bacteroidaceae	815	family	5275069	9	0	0.0
Bacteroides	816	genus	5275069	299	82	0.0
Bacteroides fragilis	817	species	5308603	3455	1351	0.0123063
Bacteroides thetaiotaomicron	818	species	6293399	1086	275	0.00233908
Bacteroides uniformis	820	species	4989532	2111	1422	0.0177352
Bacteroides vulgatus	821	species	5163189	1796	496	0.00794008
Parabacteroides distasonis	823	species	10023638	1157	236	0.00124386
Campylobacter gracilis	824	species	2281652	104	75	0.0
Sebaldella termitidis	826	species	4486650	7	0	0.0
Campylobacter ureolyticus	827	species	1641887	5	0	0.0
Butyrivibrio	830	genus	4404886	4	0	0.0
Fibrobacter	832	genus	7685639	6	0	0.0
Fibrobacter succinogenes	833	species	7685639	3	0	0.0
Porphyromonas	836	genus	2657841	17	0	0.0
Porphyromonas gingivalis	837	species	2736420	507	216	4.93466e-05
Prevotella	838	genus	3023914	69	4	0.0
Prevotella ruminicola	839	species	3619559	8	0	0.0
Roseburia	841	genus	4042736	5	0	0.0
Wolinella succinogenes	844	species	2110355	154	0	0.0
Oxalobacter	846	genus	2433653	42	0	0.0
Oxalobacter formigenes	847	species	2433653	2063	428	0.000152203
Fusobacterium	848	genus	3161642	32	4	0.0
Fusobacterium gonidiaformans	849	species	1678881	1	0	0.0
Fusobacterium mortiferum	850	species	2716766	3	0	0.0
Fusobacterium nucleatum	851	species	3161193	271	48	0.0
Faecalibacterium prausnitzii	853	species	3102523	4714	1920	0.0147892
Fusobacterium varium	856	species	3346458	472	235	5.95333e-176
Fusobacterium necrophorum	859	species	4694448	130	61	0.0
Fusobacterium periodonticum	860	species	2541084	214	26	0.0
Fusobacterium ulcerans	861	species	3839419	1265	1	0.00301513
Syntrophomonas	862	genus	2936195	10	0	0.0
Syntrophomonas wolfei	863	species	2936195	1	0	0.0
Cardiobacteriaceae	868	family	1389350	36	0	0.0
Dichelobacter	869	genus	1389350	2	0	0.0
Dichelobacter nodosus	870	species	1389350	19	0	0.0
Desulfovibrio	872	genus	3919658	122	2	0.0
Desulfocurvibacter africanus	873	species	4200534	16	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	621	434	8.3243e-05
Desulfovibrio salexigens	880	species	4289847	5	0	0.0
Desulfovibrio vulgaris	881	species	3802302	42	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	568	35	0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	683	452	2.33851e-05
Desulfuromonas	890	genus	0	23	0	0.0
Desulfobulbus	893	genus	0	4	0	0.0
Desulfococcus	896	genus	3944167	6	0	0.0
Desulfococcus multivorans	897	species	8911375	1044	0	0.0
Desulfomicrobium	898	genus	3363015	18	0	0.0
Desulfomicrobium baculatum	899	species	3942657	9	0	0.0
Desulfovibrio piger	901	species	2807531	531	348	0.0
Acidaminococcus	904	genus	2408767	8	0	0.0
Acidaminococcus fermentans	905	species	2329769	1	0	0.0
Megasphaera	906	genus	2491645	6	0	0.0
Megasphaera elsdenii	907	species	2491645	435	69	0.00117645
Nitrobacter	911	genus	4206807	17	0	0.0
Nitrobacter hamburgensis	912	species	5011522	49	0	0.0
Nitrobacter winogradskyi	913	species	3402093	29	0	0.0
Nitrosomonas	914	genus	2796959	70	0	0.0
Nitrosomonas europaea	915	species	2812094	14	0	0.0
Nitrosomonas eutropha	916	species	2781824	11	0	0.0
Thiobacillus	919	genus	2909809	78	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	48	0	0.0
Starkeya novella	921	species	4765023	78	0	0.0
Thiomonas intermedia	926	species	3462095	4273	2423	7.79727e-05
Halothiobacillus neapolitanus	927	species	2582886	25	0	0.0
Acidithiobacillus thiooxidans	930	species	3415726	13	0	0.0
Thiomicrospira	933	genus	2045407	9	0	0.0
Hydrogenobacter thermophilus	940	species	3486067	1	0	0.0
Anaplasmataceae	942	family	1284438	4	0	0.0
Ehrlichia	943	genus	1369786	13	0	0.0
Ehrlichia canis	944	species	1315030	92	33	0.0
Ehrlichia chaffeensis	945	species	1174554	66	37	0.0
Anaplasma phagocytophilum	948	species	1493914	39	0	0.0
Neorickettsia risticii	950	species	879977	6	0	0.0
Neorickettsia sennetsu	951	species	859006	5	0	0.0
Wolbachia	953	genus	1231799	62	20	0.0
Francisella persica	954	species	3057444	9	0	0.0
Wolbachia pipientis	955	species	1484007	220	20	0.0
Bdellovibrio	958	genus	3359107	62	0	0.0
Bdellovibrio bacteriovorus	959	species	3592845	538	174	1.23347e-211
Bacteriovorax stolpii	960	species	7691180	826	353	2.4566e-05
Herbaspirillum	963	genus	5363540	1180	3	0.0
Herbaspirillum seropedicae	964	species	5513887	10051	668	0
Selenomonas	970	genus	3100147	14	0	0.0
Selenomonas ruminantium	971	species	3631933	9	0	0.0
Halanaerobiaceae	972	family	2443704	1	0	0.0
Bacteroidetes	976	phylum	3693192	66	1	0.0
Cytophaga	978	genus	4433218	15	0	0.0
Cellulophaga lytica	979	species	3765936	873	65	0.0
Pedobacter heparinus	984	species	5167383	6	0	0.0
Cytophaga hutchinsonii	985	species	4433218	18	0	0.0
Flavobacterium johnsoniae	986	species	6096872	14	0	0.0
Solitalea canadensis	995	species	5202069	37	0	0.0
Flavobacterium columnare	996	species	3162432	3130	573	0.000220702
Bernardetia litoralis	999	species	4919337	9	0	0.0
Marivirga tractuosa	1006	species	4516490	8	0	0.0
Saprospira	1007	genus	4400185	5	0	0.0
Saprospira grandis	1008	species	4400185	4	0	0.0
Sphingobacterium mizutaii	1010	species	4653048	508	360	0.00021413
Weeksella	1013	genus	2272954	2	0	0.0
Weeksella virosa	1014	species	2272954	376	194	4.19231e-05
Capnocytophaga	1016	genus	2592165	79	16	0.0
Capnocytophaga gingivalis	1017	species	2838633	217	150	0.0
Capnocytophaga ochracea	1018	species	2612925	1	0	0.0
Capnocytophaga sputigena	1019	species	11962418	972	149	0
Beggiatoa	1021	genus	0	3	0	0.0
Erythrobacter	1041	genus	3052398	179	0	0.0
Chromatiaceae	1046	family	3825215	252	1	0.0
Allochromatium vinosum	1049	species	3669074	62	0	0.0
Thermochromatium tepidum	1050	species	2958290	25	0	0.0
Ectothiorhodospira	1051	genus	0	37	0	0.0
Halorhodospira halochloris	1052	species	2834560	340	235	0.0
Halorhodospira halophila	1053	species	2678452	35	0	0.0
Rhodobacter	1060	genus	4425548	145	0	0.0
Rhodobacter capsulatus	1061	species	3871920	44	0	0.0
Rhodobacter sphaeroides	1063	species	4610091	5013	2280	9.02757e-05
Rhodomicrobium	1068	genus	4014469	8	0	0.0
Rhodomicrobium vannielii	1069	species	4014469	35	0	0.0
Rhodopseudomonas	1073	genus	5494465	115	0	0.0
Rhodobacter blasticus	1075	species	3706095	4374	3252	0.000659506
Rhodopseudomonas palustris	1076	species	5494465	3282	813	0.000112832
Blastochloris viridis	1079	species	11174693	2934	500	0.0
Rhodospirillum	1081	genus	4371641	34	0	0.0
